WEEK,COUNTY,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,COUNTY_POPULATION,COUNTY_RAW_DENSITY,COUNTY_AREA_KM2,COUNTY_WEIGHTED_DENSITY,COUNTY_URBAN_CORE_DENSITY,IS_ELECTION_YEAR,LOG_COUNTY_POPULATION,LOG_COUNTY_RAW_DENSITY,EVENTS_ROLLING_4W
1998-01-24,Baringo,Battles,Armed clash,1,0,0,0.7197,36.0185,1998,419683.0,39.2,10718.1,71.4,4938.3,0,12.947257326126573,3.6938669956249757,0
1998-06-27,Baringo,Protests,Peaceful protest,1,0,0,0.7197,36.0185,1998,419683.0,39.2,10718.1,71.4,4938.3,0,12.947257326126573,3.6938669956249757,1
1999-01-16,Baringo,Battles,Armed clash,1,0,0,0.7197,36.0185,1999,419683.0,39.2,10718.1,71.4,4938.3,0,12.947257326126573,3.6938669956249757,2
1999-09-25,Baringo,Battles,Armed clash,1,0,0,0.7197,36.0185,1999,419683.0,39.2,10718.1,71.4,4938.3,0,12.947257326126573,3.6938669956249757,3
1999-09-25,Baringo,Violence against civilians,Attack,1,0,0,0.7197,36.0185,1999,419683.0,39.2,10718.1,71.4,4938.3,0,12.947257326126573,3.6938669956249757,4
2000-12-23,Baringo,Violence against civilians,Attack,1,1,0,0.7197,36.0185,2000,419683.0,39.2,10718.1,71.4,4938.3,0,12.947257326126573,3.6938669956249757,4
2003-02-15,Baringo,Riots,Mob violence,1,0,0,0.7197,36.0185,2003,464902.6,43.400000000000006,10718.1,85.74000000000001,7319.64,0,13.049585351249469,3.7932394694381792,4
2003-05-17,Baringo,Violence against civilians,Attack,1,3,0,0.7197,36.0185,2003,464902.6,43.400000000000006,10718.1,85.74000000000001,7319.64,0,13.049585351249469,3.7932394694381792,4
2003-07-12,Baringo,Protests,Peaceful protest,1,0,0,0.7197,36.0185,2003,464902.6,43.400000000000006,10718.1,85.74000000000001,7319.64,0,13.049585351249469,3.7932394694381792,4
2003-07-26,Baringo,Riots,Mob violence,1,0,0,0.7197,36.0185,2003,464902.6,43.400000000000006,10718.1,85.74000000000001,7319.64,0,13.049585351249469,3.7932394694381792,4
2003-11-15,Baringo,Protests,Peaceful protest,1,0,0,0.7197,36.0185,2003,464902.6,43.400000000000006,10718.1,85.74000000000001,7319.64,0,13.049585351249469,3.7932394694381792,4
2003-11-15,Baringo,Riots,Mob violence,1,0,0,0.7197,36.0185,2003,464902.6,43.400000000000006,10718.1,85.74000000000001,7319.64,0,13.049585351249469,3.7932394694381792,4
